SubModelID,SubModelName
707,Squire
708,ESS
709,Ghia
710,LX Brougham
711,Country Squire LX
712,Crown Victoria
713,Crown Victoria LX
714,Grabber
715,Cobra
716,Turbo GT
717,GT Bullitt
718,SVT Cobra
719,SVT Cobra R
720,GT-350 20th Anniversary
721,Mach 1
722,SVO
723,Edge
724,S Plus
725,Splash
726,MT5
729,SE Comfort
730,SVG
731,G
732,SHO
733,L AWD
734,LX AWD
735,Diamond Jubilee
736,Elan
737,Fila
738,Heritage
739,Silver Anniversary
740,Town Landau
741,Super Coupe
742,3.0L
743,SE Sport
744,SEL
746,Diamond Anniversary
747,Givenchy
748,Signature
751,Valentino
752,Executive
754,Bill Blass
755,Pucci
756,LSC
757,Versace
758,Cartier
759,Cartier L
760,Executive L
761,Executive Protection Series
762,Jack Nicklaus
763,Cypress
764,Touring Edition
765,Signature SE
766,Tournament Edition
767,MPG Runabout
768,Runabout
769,S Runabout
770,Villager
771,5
772,Black Magic
773,Crimson Cat
774,XR2
775,Colony Park
776,V6
777,XR-7
778,LTS
779,XR3
782,Grand Ghia
783,MX
784,MX Brougham
785,MX Villager
786,GS Spree
787,LS Young America
788,LS Premium
789,GS AWD
790,LS AWD
791,LTS AWD
792,Sport AWD
793,XR5
794,XR5 AWD
795,Trio
796,Nautica
797,Z7
798,Z7 GS
799,Type-S
800,LS Special Edition
801,GS-R
802,Type R
803,Alex Zanardi Edition
804,STD
805,SEi
806,DX
809,10th Anniversary
810,Value Package
811,CVCC
812,1200
813,1300
814,1300 DX
815,1500
816,1500 DX
817,1500 GL
818,1300 FE
819,1500 S
821,Wagovan
822,RT 4WD
823,Si
824,VX
825,HX
826,VTEC
827,HF
829,2.0 Si
830,2.0 S
832,2.0 Si 4WS
833,Si 4WS
834,Si ALB
836,Type SH
837,CRX
838,CRX 1.5
839,CRX HF
840,CRX Si
841,SLi
842,GT5
843,GT5-S
845,2.5 Turbo
846,2.3
847,2.6
848,2.3-16
849,2.8
850,4Matic
851,6.9
852,Kompressor
853,SWB
854,MK IV
855,V8
856,EMS
857,GLI
858,SPG
859,S Turbo
860,SE Turbo
861,Turbo Commemorative Edition
862,CD
863,CD Turbo
864,CD Griffin Edition
865,CS Turbo
866,CSE
867,CSE Turbo
868,Aero
869,CDE
870,CDE Turbo
871,Viggen
873,Linear
874,Vector
875,Gary Fisher
877,2.3t
879,DL Kammback
880,DL SX4
881,SX4
882,Kammback
883,Sportabout
885,Hunter
886,Kensington
887,Vitesse
888,Callaway
889,HSK
890,SD
891,SE7
892,XD
893,SE-R
894,2+2 GL
895,2+2 Turbo
896,Enthusiast
897,Performance
898,Track
899,GXE
900,SVE
902,A
903,Anniversary Edition
904,CA
905,SE-R Spec V
906,Red Label
907,RL
909,II
910,III
911,Park Ward
912,Hybrid
915,Terra
916,Traveler
917,SS2
918,SPX
920,ESi-R
921,GST
922,VR-4
923,GSR
924,Spyder SL
925,Spyder VR-4
926,Spyder GS
927,Spyder GST
928,DE
929,Spyder GT
930,VR-X
931,OZ Rally
932,Spyder GTS
933,Evolution
934,Kombi
935,Campmobile
938,Wolfsburg Edition
939,GTI
940,Syncro
941,GTI 16-Valve
942,GLI 16-Valve
943,16-Valve
944,Bestseller
945,Boutique
946,Carat
947,G60
948,GTI 8-Valve
949,Etienne Aigner
950,SLC
951,MV
952,Avant
953,Camper
954,GTI VR6
957,Trek
958,TDI
959,Jazz
960,K2
961,GTI GLS
962,GTI GLX
963,Turbo S
964,GTI 337
965,W8
966,GTI 20th Anniversary
967,Sportcross
968,SR5
969,DLX All Trac
970,LE All Trac
971,XLE
972,CE
973,ST
974,All Trac
976,GTS All Trac
977,Sport DLX
978,Sport SR5
979,Sport GTS
981,FX16
982,FX16 GTS
983,SR5 All Trac
984,VE
985,XR
986,XRS
987,Super Charged
988,Convertible
989,DLX Turbo
990,SR5 Turbo
991,Twin Turbo
992,Base Turbo
993,EZ
995,Wagon Crg
996,Wagon DX
997,Wagon LE
998,Pre Runner
999,XLC
1000,1210
1001,150
1002,200
1003,Supra
1004,Arc
1013,GTI 1.8T
1014,Sigma
1015,Sport Truck
1018,Vantage
1019,Volante
1020,Vantage Volante
1021,Quattrovalvole
1022,Challenge
1023,Modena
1024,BB
1025,Barchetta Pininfarina
1026,Series Speciale
1027,Cambiocorsa
1028,BB Competizione
1029,M Edition
1030,STO
1032,Shinsen
1033,GT 4WS
1034,i
1036,GSL
1038,Millennium Edition
1039,GSL-SE
1040,GXL
1041,Base 2+2
1042,GXL 2+2
1043,LX 2+2
1044,GTU
1045,SE 2+2
1046,GTUs
1047,R1
1048,R2
1049,20v
1050,20v Avant
1051,Celebration Edition
1052,City
1054,Fifth Avenue
1055,Pro-Am
1057,GL-10
1058,SRT-4
1059,P118
1061,DPL
1062,SST
1063,440
1064,Rogue
1065,550
1066,770
1067,MK IIIB
1068,MK I
1069,MK II
1070,Zagato
1071,Radford
1072,V-8
1081,H.J. Mulliner
1082,James Young
1083,Lux
1084,225 Custom
1085,225 Limited
1086,300 Deluxe
1087,Malibu
1088,Nomad
1089,Concours Estate
1090,Greenbrier
1091,Nova
1092,95
1093,Monza
1095,Sportsman
1096,Maxi
1097,Maxi Wagon
1098,T/A
1099,Super Bee
1100,270
1101,Demon
1102,Demon 340
1103,Sport 340
1104,Post Office
1105,Power Wagon
1106,Daytona
1107,Racer
1108,Wagon
1109,Club Wagon
1110,Chateau Wagon
1111,Custom Wagon
1112,Boss 429
1113,Grande
1114,Boss 351
1115,Police Cruiser
1116,Super Cobra Jet
1117,M
1118,MC
1119,Commando
1120,CJ-2
1121,1-Ton
1122,CJ-3
1123,Jeepster
1124,Sedan Delivery
1125,CJ-5
1126,CJ-6
1127,DJ-3
1128,FF
1129,400GT
1130,2
1131,2S
1132,Sprint
1133,2S 130
1134,S1
1135,Twin
1137,4.5
1138,Boss 302
1139,Cobra Jet
1140,CJ
1141,Spoiler
1142,X-100
1143,Cooper
1144,Turnpike Cruiser
1145,Kadett DLX
1146,Gran Coupe
1147,Satellite
1148,340
1149,Custom Suburban
1150,Sport Suburban
1151,Suburban
1152,VIP
1153,Sport GT
1154,Voyager EX
1155,Regent
1156,Sebring
1157,Sebring Plus
1158,Signet
1159,Ventura
1160,T37
1161,4
1162,6
1163,TC
1164,Mark II
1165,211
1166,215
1167,261
1168,265
1171,Town & Country
1172,100 DL
1173,100 E
1174,100 LX
1175,200 DL
1176,200 E
1177,200 LX
1178,200 GT
1179,4x4
1180,EXI
1181,EX-R
1182,GL Deluxe
1183,GLS Glory
1184,Sport Deluxe
1185,GSL Super
1186,SL Deluxe
1187,CL Deluxe
1188,CXL Super
1189,Vanden Plas
1191,Precedia
1193,D
1194,Sport Coupe
1195,FE
1196,BR
1197,SA
1200,L 4x4
1201,LS 4x4
1202,V
1203,LSX
1204,BJ42
1205,BJ60
1206,BJ60LV-KK
1207,BJ60LG-MK
1208,BJ70
1209,HJ60
1210,LN56
1211,RN60
1212,LN55 DLX
1213,LN76
